Date,Open,High,Low,Close,Adj Close,Volume,Percent Change
1/29/93,43.96875,43.96875,43.75,43.9375,24.840673,1003200,NA
2/1/93,43.96875,44.25,43.96875,44.25,25.017353,480500,0.007112529
2/2/93,44.21875,44.375,44.125,44.34375,25.070364,201300,0.002118969
2/3/93,44.40625,44.84375,44.375,44.8125,25.335381,529400,0.010570927
2/4/93,44.96875,45.09375,44.46875,45,25.44137,531500,0.004183438
2/5/93,44.96875,45.0625,44.71875,44.96875,25.423712,492100,-0.000694066
2/8/93,44.96875,45.125,44.90625,44.96875,25.423712,596100,0
2/9/93,44.8125,44.8125,44.5625,44.65625,25.247032,122100,-0.006949418
2/10/93,44.65625,44.75,44.53125,44.71875,25.282368,379600,0.00139961
2/11/93,44.78125,45.125,44.78125,44.9375,25.406057,19500,0.004892303
2/12/93,44.875,44.875,44.59375,44.59375,25.211695,42500,-0.007650223
2/16/93,44.46875,44.46875,43.40625,43.46875,24.575672,374800,-0.0252273
2/17/93,43.46875,43.53125,43.28125,43.4375,24.557991,210900,-0.000719451
2/18/93,43.9375,43.9375,42.8125,43.40625,24.540323,378100,-0.00071944
2/19/93,43.40625,43.5625,43.34375,43.5625,24.628662,34900,0.003599749
2/22/93,43.6875,43.78125,43.5625,43.71875,24.717016,513600,0.003587446
2/23/93,43.84375,43.875,43.46875,43.6875,24.699347,373700,-0.000714852
2/24/93,43.71875,44.25,43.71875,44.25,25.017353,26300,0.012875077
2/25/93,44.21875,44.375,44.125,44.34375,25.070364,44500,0.002118969
2/26/93,44.4375,44.4375,44.1875,44.40625,25.1057,66200,0.001409473
3/1/93,44.5625,44.5625,44.21875,44.28125,25.03503,66500,-0.002814899
3/2/93,44.3125,44.9375,44.25,44.9375,25.406057,182400,0.014820314
3/3/93,45,45.15625,44.9375,45.125,25.512053,280100,0.004172076
3/4/93,45.1875,45.1875,44.875,44.875,25.370707,89500,-0.005540362
3/5/93,44.9375,45.125,44.71875,44.75,25.300032,40000,-0.002785693
3/8/93,44.84375,45.75,44.84375,45.75,25.865396,50800,0.022346375
3/9/93,45.65625,45.6875,45.5,45.59375,25.777069,169300,-0.003414871
3/10/93,45.59375,45.6875,45.40625,45.6875,25.830067,194400,0.002056013
3/11/93,45.71875,45.84375,45.5,45.5625,25.759396,70900,-0.002735998
3/12/93,45.1875,45.21875,44.8125,45.09375,25.494394,643600,-0.010287586
3/15/93,45.0625,45.3125,45.0625,45.3125,25.618057,310800,0.004850596
3/16/93,45.3125,45.4375,45.3125,45.3125,25.618057,30800,0
3/17/93,45.25,45.25,44.96875,45.03125,25.459055,21800,-0.006206638
3/18/93,45.21875,45.5,45.21875,45.3125,25.618057,59300,0.006245401
3/19/93,45.28125,45.28125,45.03125,45.03125,25.579281,66900,-0.00151362
3/22/93,44.59375,44.875,44.5625,44.78125,25.437277,183400,-0.005551524
3/23/93,44.90625,44.9375,44.8125,44.875,25.49053,55200,0.002093502
3/24/93,44.8125,45.0625,44.59375,44.875,25.49053,37200,0
3/25/93,44.90625,45.25,44.84375,45.15625,25.650286,110100,0.006267269
3/26/93,45.125,45.15625,44.875,44.90625,25.508284,101500,-0.005536079
3/29/93,44.9375,45.3125,44.9375,45.09375,25.614777,87100,0.00417484
3/30/93,45.15625,45.21875,45.09375,45.21875,25.685795,56000,0.00277254
3/31/93,45.34375,45.46875,45.1875,45.1875,25.668049,111600,-0.000690888
4/1/93,45.25,45.25,44.9375,45.03125,25.579281,129500,-0.003458307
4/2/93,44.65625,44.65625,44.09375,44.09375,25.046749,59400,-0.020818881
4/5/93,44.4375,44.4375,44.1875,44.3125,25.171005,172200,0.004960963
4/6/93,44.40625,44.40625,44.0625,44.1875,25.100008,129700,-0.002820587
4/7/93,44.25,44.34375,44.15625,44.34375,25.188757,28000,0.003535816
4/8/93,44.53125,44.53125,44.09375,44.28125,25.153255,180800,-0.001409438
4/12/93,44.71875,44.9375,44.65625,44.90625,25.508284,348500,0.014114634
4/13/93,44.875,45.15625,44.84375,45,25.561527,146100,0.002087283
4/14/93,45.03125,45.0625,44.90625,44.9375,25.52603,119600,-0.001388689
4/15/93,44.90625,45.03125,44.75,44.9375,25.52603,148600,0
4/16/93,44.96875,45.03125,44.875,44.9375,25.52603,47900,0
4/19/93,44.9375,45.0625,44.71875,44.75,25.419531,157000,-0.004172172
4/20/93,44.6875,44.75,44.25,44.53125,25.295277,279500,-0.004888131
4/21/93,44.625,44.625,44.375,44.5,25.27751,67900,-0.000702384
4/22/93,44.3125,44.6875,43.9375,43.9375,24.957994,97700,-0.012640327
4/23/93,43.84375,43.96875,43.6875,43.75,24.851486,106000,-0.00426749
4/26/93,43.78125,43.9375,43.28125,43.40625,24.656216,62600,-0.007857478
4/27/93,43.34375,43.875,43.34375,43.875,24.922499,156800,0.010799832
4/28/93,43.8125,43.90625,43.71875,43.78125,24.869234,85900,-0.002137225
4/29/93,43.875,43.96875,43.625,43.96875,24.975752,85000,0.004283123
4/30/93,44.125,44.28125,44.03125,44.03125,25.011261,88500,0.001421739
5/3/93,44.09375,44.3125,43.90625,44.3125,25.171005,80500,0.006386883
5/4/93,44.40625,44.625,44.34375,44.46875,25.259764,149100,0.00352624
5/5/93,44.46875,44.75,44.46875,44.59375,25.330765,109000,0.002810834
5/6/93,44.53125,44.5625,44.40625,44.4375,25.242014,54700,-0.003503684
5/7/93,44.46875,44.46875,44.28125,44.34375,25.188757,68000,-0.002109855
5/10/93,44.40625,44.6875,44.40625,44.4375,25.242014,113900,0.002114316
5/11/93,44.4375,44.625,44.3125,44.625,25.348534,42600,0.004219949
5/12/93,44.4375,44.59375,44.4375,44.5625,25.313017,31000,-0.001401146
5/13/93,44.375,44.375,44,44.03125,25.011261,129100,-0.011920981
5/14/93,44.03125,44.15625,43.96875,44,24.993507,63500,-0.00070984
5/17/93,44.125,44.15625,43.9375,44.15625,25.082251,34000,0.003550682
5/18/93,44.1875,44.21875,43.96875,44.125,25.064514,105200,-0.000707153
5/19/93,44.125,45.03125,43.84375,45.03125,25.579281,50200,0.020537681
5/20/93,45.03125,45.15625,44.9375,45.15625,25.650286,98200,0.002775879
5/21/93,45.1875,45.25,44.71875,44.75,25.419531,221400,-0.008996196
5/24/93,44.84375,45.09375,44.84375,44.9375,25.52603,30500,0.004189652
5/25/93,45.125,45.125,45.03125,45.03125,25.579281,191800,0.002086145
5/26/93,45.15625,45.625,45.125,45.59375,25.898806,102400,0.012491555
5/27/93,45.65625,45.65625,45.375,45.4375,25.810053,53800,-0.003426915
5/28/93,45.40625,45.40625,45,45.21875,25.685795,79100,-0.004814326
6/1/93,45.375,45.8125,45.3125,45.65625,25.934298,28300,0.009674725
6/2/93,45.53125,45.75,45.34375,45.59375,25.898806,20300,-0.001368535
6/3/93,45.5,45.5,45.34375,45.4375,25.810053,21600,-0.003426915
6/4/93,45.3125,45.3125,45.09375,45.28125,25.721294,32000,-0.003438931
6/7/93,45.375,45.375,45.125,45.125,25.632536,121400,-0.00345076
6/8/93,45,45,44.71875,44.71875,25.401772,104500,-0.009002777
6/9/93,44.875,45.0625,44.8125,44.875,25.49053,43300,0.003494166
6/10/93,44.84375,44.9375,44.75,44.90625,25.508284,17900,0.000696494
6/11/93,45.0625,45.15625,44.90625,45.09375,25.614777,647400,0.00417484
6/14/93,45.15625,45.1875,45.03125,45.03125,25.579281,64200,-0.001385763
6/15/93,45.09375,45.125,44.9375,44.9375,25.52603,142400,-0.002081802
6/16/93,44.9375,45.03125,44.8125,45.03125,25.579281,330900,0.002086145
6/17/93,45.125,45.1875,45.03125,45.1875,25.668049,37400,0.003470309
6/18/93,44.84375,44.84375,44.5,44.5,25.456661,58500,-0.008235453
6/21/93,44.625,44.625,44.53125,44.59375,25.510294,29300,0.002106836
6/22/93,44.65625,44.65625,44.5625,44.625,25.528181,137500,0.000701168
6/23/93,44.625,44.625,44.21875,44.21875,25.295769,227600,-0.009104135
6/24/93,44.34375,44.8125,44.34375,44.8125,25.635435,243700,0.013427779
6/25/93,44.78125,44.90625,44.75,44.78125,25.617561,44800,-0.000697238
6/28/93,45,45.28125,44.9375,45.28125,25.903584,439900,0.011165114
6/29/93,45.21875,45.21875,45,45.0625,25.77845,207500,-0.00483076
6/30/93,45.125,45.21875,45,45.0625,25.77845,437600,0
7/1/93,45.125,45.125,44.875,44.9375,25.706936,605700,-0.002774178
7/2/93,44.78125,44.8125,44.53125,44.6875,25.563923,285400,-0.005563207
7/6/93,44.625,44.75,44.15625,44.21875,25.295769,246400,-0.010489548
7/7/93,44.1875,44.40625,44.1875,44.34375,25.367271,343700,0.002826639
7/8/93,44.375,44.9375,44.3125,44.84375,25.653318,248200,0.011276223
7/9/93,44.84375,44.96875,44.75,44.96875,25.724812,378200,0.00278693
7/12/93,44.90625,44.96875,44.84375,44.9375,25.706936,373700,-0.000694893
7/13/93,44.96875,45.09375,44.65625,44.90625,25.689066,389600,-0.000695143
7/14/93,44.9375,45.1875,44.90625,45.0625,25.77845,617300,0.003479457
7/15/93,45.03125,45.03125,44.78125,44.875,25.671186,443800,-0.004160995
7/16/93,44.90625,44.9375,44.6875,44.75,25.599682,216400,-0.00278538
7/19/93,44.75,44.75,44.59375,44.71875,25.581795,188200,-0.00069872
7/20/93,44.6875,44.84375,44.46875,44.84375,25.653318,68500,0.002795855
